RA,DEC,USNO-B1.0,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Bmag1,Rmag1,Bmag2,Rmag2,Imag,Epoch,pmRA,pmDE,e_pmRA,e_pmDE,Flags,B1s/g,R1s/g,B2s/g,R2s/g,Is/g,angDist
345,60,1499-0036143,344.980781,59.987114,0.216,0.204,90.0,19.7,18.19,20.54,18.79,18.25,1976.5,0,0,0,0,...,0,4,2,4,,57.872497
345,60,1500-0035839,344.996067,60.016134,0.219,0.202,90.0,,17.74,20.17,18.25,17.23,1982.1,0,0,0,0,...,,5,7,8,,58.512113
345,60,1499-0036144,344.983856,59.985806,0.298,0.289,0.0,20.07,17.56,20.02,18.12,16.35,1976.5,0,0,0,0,..Y,0,7,2,3,,58.786513
345,60,1499-0036142,344.97657,59.98787,0.225,0.214,90.0,20.18,18.94,20.78,18.71,17.58,1976.5,0,0,0,0,...,0,3,2,4,,60.714217
345,60,1499-0036144,344.983089,59.985309,0.239,0.215,90.0,,18.17,,18.25,16.71,1979.7,18,-2,4,2,...,,4,,1,,61.025344
345,60,1500-0035845,345.027656,60.0104,0.333,0.274,0.0,,18.0,20.62,18.67,17.42,1982.1,0,0,0,0,...,,4,1,2,,62.282677
345,60,1500-0035846,345.029389,60.009206,0.304,0.222,90.0,,17.65,20.8,18.45,17.5,1982.1,2,-18,9,3,...,,9,2,2,,62.418052
345,60,1499-0036150,345.003803,59.982603,0.252,0.21,90.0,,18.83,20.8,19.2,,1978.3,6,-30,5,2,...,,3,1,1,,63.002555
345,60,1499-0036146,344.991917,59.982495,0.211,0.201,0.0,,18.72,20.65,18.96,17.89,1982.1,0,0,0,0,...,,4,7,8,,64.676838
345,60,1499-0036155,345.02595,59.987564,0.211,0.204,0.0,17.61,15.63,17.76,15.93,15.24,1976.5,0,0,0,0,...,0,7,9,8,,64.706755
345,60,1500-0035835,344.966545,60.007662,0.213,0.212,90.0,17.94,15.92,17.89,16.36,15.91,1976.5,0,0,0,0,..Y,0,4,3,3,,66.22922
345,60,1500-0035847,345.030981,60.010198,1.019,0.2,90.0,,18.6,,18.67,16.94,1979.7,-24,-160,72,0,...,,4,,2,,66.758575
345,60,1500-0035835,344.967528,60.009114,0.297,0.211,0.0,,16.26,19.97,17.78,17.33,1982.1,0,0,0,0,...,,4,2,3,,67.021795
345,60,1499-0036151,345.007725,59.98142,0.34,0.22,0.0,20.3,17.75,20.13,17.84,17.36,1976.5,-12,-18,3,9,...,0,4,6,3,,68.318686
345,60,1500-0035836,344.977248,60.01547,1.019,1.019,90.0,,19.13,,,18.66,1973.7,0,0,0,0,...,,4,,,,69.123295
345,60,1500-0035836,344.975325,60.015112,0.217,0.211,0.0,,19.05,,19.47,18.65,1979.7,-18,0,2,3,...,,3,,2,,70.224629
345,60,1499-0036154,345.019273,59.982523,0.3,0.207,0.0,,19.12,,,18.5,1973.7,0,0,0,0,...,,7,,,,71.852102
345,60,1499-0036149,345.00072,59.979862,0.232,0.203,0.0,,18.43,20.44,18.3,17.42,1982.1,6,-12,1,4,...,,8,8,3,,72.508482
345,60,1499-0036152,345.009262,59.98002,0.645,0.225,0.0,,18.43,20.48,19.06,17.89,1982.1,0,0,0,0,...,,4,4,5,,73.835821
345,60,1500-0035847,345.035367,60.010748,0.218,0.208,0.0,14.35,11.92,14.14,11.86,10.97,1976.5,0,0,0,0,..Y,0,9,8,8,,74.488245
345,60,1500-0035835,344.971148,60.015298,0.246,0.216,0.0,,15.51,17.59,15.69,15.13,1982.1,28,4,3,5,...,,4,10,9,,75.68927
345,60,1499-0036139,344.957856,59.998062,0.251,0.213,0.0,,18.27,20.25,18.6,17.45,1982.1,0,0,0,0,...,,2,7,4,,76.181668
345,60,1499-0036158,345.03637,59.988137,0.232,0.225,90.0,,19.02,20.75,19.13,18.02,1982.1,-8,-14,4,4,...,,8,2,1,,78.17424
345,60,1499-0036157,345.034242,59.986634,0.206,0.202,90.0,,18.54,,18.72,16.99,1979.7,2,-8,1,0,...,,1,,5,,78.203331
345,60,1500-0035847,345.034875,60.012962,0.297,0.276,0.0,18.5,15.29,18.28,16.06,,1972.2,-6,18,5,6,...,0,3,3,3,,78.208607
345,60,1499-0036140,344.963837,59.987889,0.449,0.205,0.0,20.23,18.48,20.31,18.45,17.51,1976.5,0,0,0,0,...,0,4,6,8,,78.355806
345,60,1499-0036152,345.009278,59.97867,0.203,0.201,90.0,18.04,16.59,18.37,16.64,16.19,1976.5,0,0,0,0,..Y,0,2,8,8,,78.584242
